Price,Date,Close,High,Low,Open,Volume
Ticker,,OGDC.KA,OGDC.KA,OGDC.KA,OGDC.KA,OGDC.KA
1265,2012-11-07 00:00:00,83.37541198730469,84.8868697185809,83.37541198730469,84.8868697185809,878200
1266,2012-11-08 00:00:00,83.37541198730469,83.37541198730469,83.37541198730469,83.37541198730469,0
1267,2012-11-09 00:00:00,83.37541198730469,83.37541198730469,83.37541198730469,83.37541198730469,0
1268,2012-11-12 00:00:00,84.65058898925781,85.1588667701011,84.26715088769166,84.68625844094446,239500
1269,2012-11-13 00:00:00,84.26712036132812,84.26712036132812,82.61744793712668,82.61744793712668,665800
1270,2012-11-14 00:00:00,84.13783264160156,84.690691987186,82.04229543414291,83.2996177586181,857900
1271,2012-11-15 00:00:00,83.83018493652344,84.71298147009121,83.5983369770637,84.13782790511905,149800
1272,2012-11-16 00:00:00,83.75437927246094,84.57921201041904,83.48686190686689,83.83017427195443,226100
1273,2012-11-19 00:00:00,84.2225570678711,84.2225570678711,83.82128766736,83.82128766736,47400
1274,2012-11-20 00:00:00,84.2225570678711,84.2225570678711,84.2225570678711,84.2225570678711,0
1275,2012-11-21 00:00:00,83.73210906982422,84.4900660856681,82.92956354582726,83.66968924036063,124700
1276,2012-11-22 00:00:00,83.567138671875,84.21363803652311,83.28625283540337,83.73211071267721,127200
1277,2012-11-23 00:00:00,83.041015625,83.97731973052825,82.93400730334673,83.56712456581577,62100
1278,2012-11-26 00:00:00,83.38431549072266,83.59832529857725,82.97412719098087,83.04100312992007,114000
1279,2012-11-27 00:00:00,84.16459655761719,84.5346594260376,83.16587242585902,83.38434524309561,704500
1280,2012-11-28 00:00:00,83.78559112548828,84.35183239697005,83.59833167891746,84.16457295039923,74400
1281,2012-11-29 00:00:00,83.4021987915039,84.26270829395803,83.04105488963195,83.78563695466805,248800
1282,2012-11-30 00:00:00,83.65181732177734,83.8658339105513,82.97411853373842,83.40213810478949,267800
1283,2012-12-03 00:00:00,83.22382354736328,83.73210119756597,83.0633144576545,83.65184325108632,230000
1284,2012-12-04 00:00:00,83.22382354736328,83.73210119756597,83.0633144576545,83.65184325108632,230000
1285,2012-12-05 00:00:00,84.26268768310547,84.89134215695317,84.06650911692536,84.78434061412891,131200
1286,2012-12-06 00:00:00,83.8926010131836,84.49004880201153,83.73209194121864,84.2626637847486,83600
1287,2012-12-07 00:00:00,84.8244400024414,84.8244400024414,83.91043022126584,83.91043022126584,694900
1288,2012-12-10 00:00:00,84.2716064453125,85.06969596446724,84.13339157299856,84.64166935038813,157900
1289,2012-12-11 00:00:00,84.5168228149414,85.14548408954435,83.75886574218868,84.27159960819009,890800
1290,2012-12-12 00:00:00,85.5023193359375,85.5023193359375,84.93980407714844,84.93980407714844,529000
1291,2012-12-13 00:00:00,85.25933074951172,85.45733038742453,85.06132424495635,85.27732821963377,29100
1292,2012-12-14 00:00:00,85.23686218261719,85.50236788753627,85.05235542497029,85.25936417907454,381900
1293,2012-12-17 00:00:00,84.58429718017578,85.49331689144454,83.30175964764602,85.23681350492338,183600
1294,2012-12-18 00:00:00,85.32231903076172,85.50232117078045,84.46279404889307,84.58429927005854,338500
1295,2012-12-19 00:00:00,85.3043441772461,85.592351820794,85.09734233135059,85.32234851745501,331900
1296,2012-12-20 00:00:00,85.57437896728516,85.72738156986104,84.9893613417732,85.30436871961938,166500
1297,2012-12-21 00:00:00,85.1783447265625,86.12787114520616,85.05683945846421,85.57435782753817,279600
1298,2012-12-24 00:00:00,85.98838806152344,86.24939613168884,85.05236125126861,85.17836420008697,465400
1299,2012-12-25 00:00:00,85.98838806152344,85.98838806152344,85.98838806152344,85.98838806152344,0
1300,2012-12-26 00:00:00,86.94237518310547,87.30238639724742,85.50233719318047,85.98835130227567,451300
1301,2012-12-27 00:00:00,86.91986846923828,87.12237948700032,86.51935781777327,86.94237045639433,451300
1302,2012-12-28 00:00:00,86.7444076538086,87.07741937820354,86.31239949601361,86.9199122554089,372200
1303,2012-12-31 00:00:00,86.67689514160156,87.21241103644174,86.40238728234084,86.74439426000798,248300
1304,2013-01-01 00:00:00,86.36637115478516,87.30239768593052,85.99736459089108,86.67688078130016,170600
1305,2013-01-02 00:00:00,86.35736083984375,86.35736083984375,83.7472948959424,83.7472948959424,393000
1306,2013-01-03 00:00:00,84.9083251953125,85.25483662050763,83.7067930689611,84.33230994822216,94100
1307,2013-01-04 00:00:00,85.05683898925781,85.3223515168441,84.39982474805703,84.90833407721114,177000
1308,2013-01-07 00:00:00,84.37730407714844,85.18732756961758,84.0082907046626,85.05682016065842,123400
1309,2013-01-08 00:00:00,85.2323226928711,85.452831181047,84.1522959725013,84.37730211146523,405500
1310,2013-01-09 00:00:00,86.19986724853516,86.40237143325314,85.05683203112902,85.23233657343708,773500
1311,2013-01-10 00:00:00,85.95686340332031,85.95686340332031,84.1073122216469,84.1073122216469,691500
1312,2013-01-11 00:00:00,85.5023193359375,85.60582022089511,84.13428524788469,84.19278216548264,317100
1313,2013-01-14 00:00:00,85.02982330322266,85.94785224692932,84.37730683701166,85.50233759483848,317100
1314,2013-01-15 00:00:00,82.77976989746094,85.44834668711952,82.17225734870244,85.02983163355199,171800
